id,title,location,city,price,original_price,discount,m2,rooms,air,terrace,storage,garage,outside,wardrobes,pool,garden,status,satus,has_elevator,property_type,floor_number,price_m2
102051093,Piso en venta en La Maternitat i Sant Ramon,Les Corts,Barcelona,695000.0,695000,0,150.0,4.0,0,0,0,0,1,1,0,0,0,Buen estado,1,2,2.0,4633.333333333333
105118247,Piso en venta en calle de Gelabert,Les Corts,Barcelona,259000.0,259000,0,80.0,2.0,1,1,0,0,0,0,0,0,0,Buen estado,0,1,0.0,3237.5
105339966,Piso en venta en calle de González Tablas,Pedralbes,Barcelona,945000.0,945000,0,130.0,3.0,1,1,0,0,1,1,0,0,0,A reformar,1,2,6.0,7269.2307692307695
105305048,Piso en venta en Les Corts,Les Corts,Barcelona,290000.0,315000,0,68.0,3.0,0,0,0,0,1,0,0,0,0,Buen estado,1,2,1.0,4264.705882352941
105459944,Piso en venta en paseo de Manuel Girona,Pedralbes,Barcelona,1200000.0,1200000,0,191.0,4.0,1,1,1,1,1,1,0,0,0,Buen estado,1,2,5.0,6282.722513089006
104634731,Piso en venta en avenida de Josep Tarradellas,Les Corts,Barcelona,950000.0,950000,0,214.0,4.0,0,0,1,0,1,1,0,0,0,A reformar,1,2,3.0,4439.252336448598
101850211,Piso en venta en calle de Berlín,Les Corts,Barcelona,650000.0,650000,0,117.0,4.0,0,1,0,0,1,1,0,0,0,A reformar,1,2,6.0,5555.555555555556
105456425,Piso en venta en calle dels Lamote de Grignon,Pedralbes,Barcelona,1265000.0,1265000,0,184.0,3.0,1,1,0,1,1,1,0,0,0,Buen estado,1,2,5.0,6875.0
105686545,Piso en venta en Gran Via de Carles III,Les Corts,Barcelona,335000.0,335000,0,75.0,3.0,0,0,0,0,1,0,0,0,0,Buen estado,1,2,0.0,4466.666666666667
105279312,Piso en venta en travesía de les Corts,Les Corts,Barcelona,445000.0,445000,0,68.0,2.0,1,1,1,0,1,1,0,0,0,Buen estado,1,2,1.0,6544.117647058823
105849440, Casa o chalet independiente en venta en Pedralbes,Les Corts,Barcelona,10990000.0,10990000,0,1.4,8.0,1,1,1,1,0,1,1,0,0,Buen estado,0,0,2.0,7850000.000000001
