,Unnamed: 0.1,Unnamed: 0,id,title,location,city,price,original_price,discount,m2,hab,floor,air,terrace,storage,elevator,garage,outside,wardrobes,pool,garden,satus,energy,co2,status
136,136,136,103587432,"Piso en venta en calle del Capità Arenas, 25",Pedralbes,Barcelona,795000.0,795000,0,154.0,3.0,Planta 1ª exterior con ascensor,False,True,False,True,True,True,True,False,False,Buen estado,47,,
137,137,137,105531017,Ático en venta en avenida de Madrid,Les Corts,Barcelona,615000.0,615000,0,110.0,4.0,Planta 8ª exterior con ascensor,True,True,False,True,False,True,True,False,False,Buen estado,191,39,
138,138,138,105165101,Piso en venta en avenida de Sarrià,Les Corts,Barcelona,1000000.0,1000000,0,190.0,4.0,Planta 3ª exterior con ascensor,True,False,False,True,False,True,False,False,False,Buen estado,,,
139,139,139,96989213, Casa o chalet independiente en venta en avenida d'Esplugues,Pedralbes,Barcelona,3900000.0,3900000,0,850.0,7.0,,True,True,True,False,True,False,True,True,False,A reformar,,,
140,140,140,102084861, Casa o chalet independiente en venta en Passatge de Xile,La Maternitat i Sant Ramon,Barcelona,1450000.0,1450000,0,326.0,4.0,,True,True,False,False,True,True,True,False,False,Buen estado,203,,
141,141,141,105587448,Piso en venta en calle de Tòquio,Pedralbes,Barcelona,2000000.0,2000000,0,352.0,5.0,Planta 3ª exterior con ascensor,True,True,False,True,True,True,True,False,False,Buen estado,,,
142,142,142,104446491, Casa o chalet en venta en Passatge de Xile,La Maternitat i Sant Ramon,Barcelona,1450000.0,1450000,0,326.0,4.0,,True,False,False,False,True,False,False,False,False,Buen estado,,,
143,143,143,105977074,Ático en venta en avenida de Madrid,Les Corts,Barcelona,615000.0,615000,0,100.0,4.0,Planta 7ª exterior con ascensor,True,True,False,True,False,True,True,False,False,Buen estado,191,39,
144,144,144,105176935, Chalet adosado en venta en Passatge de Xile,La Maternitat i Sant Ramon,Barcelona,1450000.0,1450000,0,326.0,4.0,,True,True,False,False,True,False,True,False,False,Buen estado,203,,
145,145,145,105861059,Piso en venta en Jardí de Tòquio s/n,Pedralbes,Barcelona,2000000.0,2000000,0,280.0,5.0,Planta 3ª con ascensor,False,True,False,True,False,False,False,False,False,Buen estado,,,
146,146,146,105442516,Ático en venta en avenida de Madrid,Les Corts,Barcelona,615000.0,615000,0,110.0,4.0,,False,False,False,True,False,False,False,False,False,Buen estado,191,,
147,147,147,104362479,Piso en venta en avenida de Sarrià,Les Corts,Barcelona,1000000.0,1000000,0,172.0,4.0,Planta 3ª exterior con ascensor,True,False,False,True,False,True,True,True,False,A reformar,,,
148,148,148,105536666,Piso en venta en paseo de Manuel Girona s/n,Pedralbes,Barcelona,1450000.0,1450000,0,166.0,4.0,Planta 9ª interior con ascensor,True,False,False,True,True,True,True,True,False,Buen estado,,,
149,149,149,90163017, Casa o chalet independiente en venta en Pedralbes,Les Corts,Barcelona,3650000.0,3650000,0,686.0,6.0,,True,True,True,False,True,False,True,True,False,Buen estado,,,
150,150,150,105623378,Piso en venta en calle de Joan Güell,Les Corts,Barcelona,690000.0,"
710000 €
",0,105.0,3.0,Planta 7ª exterior con ascensor,True,False,False,True,False,True,True,False,False,Buen estado,,,
151,151,151,105267316,Piso en venta en calle del Vallespir,Les Corts,Barcelona,220000.0,220000,0,63.0,3.0,Planta 3ª interior con ascensor,False,False,False,True,False,False,False,False,False,A reformar,999,99,
152,152,152,105575847,Ático en venta en calle del Comte de Güell,La Maternitat i Sant Ramon,Barcelona,315000.0,"
330000 €
",0,86.0,2.0,Planta 5ª exterior con ascensor,False,True,False,True,False,True,False,False,False,Buen estado,,,
153,153,153,104583498,Piso en venta en calle de Benavent,La Maternitat i Sant Ramon,Barcelona,315000.0,"
325000 €
",0,85.0,4.0,Planta 4ª exterior con ascensor,False,False,False,True,False,True,True,False,False,Buen estado,,,
154,154,154,104692662,Piso en venta en calle de Manuel Ballbè,Pedralbes,Barcelona,1550000.0,1550000,0,214.0,5.0,Planta 11ª exterior con ascensor,True,True,False,True,True,True,True,False,False,Buen estado,46,,
155,155,155,104301237,Ático en venta en calle del Comte de Güell,La Maternitat i Sant Ramon,Barcelona,315000.0,"
330000 €
",0,86.0,2.0,Planta 5ª exterior con ascensor,False,True,False,True,False,True,False,False,False,Buen estado,,,
