id,title,location,city,price,original_price,discount,m2,rooms,air,terrace,storage,garage,outside,wardrobes,pool,garden,status,satus,has_elevator,property_type,floor_number,price_m2,cluster
101660330,Piso en venta en calle de la Portaferrissa,El,"Gòtic,",799000.0,799000,0,126.0,2.0,1,1,0,0,1,0,0,0,0,,1,2,2.0,6341.269841269841,0
105261659,Piso en venta en calle d'Avinyó,El,"Gòtic,",1140000.0,1190000,0,183.0,3.0,1,1,0,0,1,1,0,0,0,,0,0,2.0,6229.508196721312,0
105035271,Piso en venta en calle del Peu de la Creu,El,"Raval,",298000.0,328000,0,65.0,2.0,1,1,0,0,1,0,0,0,0,,1,2,2.0,4584.615384615385,0
105840030,Piso en venta en calle Nou de Sant Francesc,El,"Gòtic,",650000.0,650000,0,137.0,5.0,1,0,0,0,1,0,0,0,0,,0,2,1.0,4744.525547445255,2
104712676,Piso en venta en calle de Rull,El,"Gòtic,",595000.0,595000,0,121.0,2.0,0,1,1,0,1,0,0,0,0,,1,2,4.0,4917.355371900827,2
104911725,Piso en venta en Sant Pere - Santa Caterina i la Ribera,Ciutat,"Vella,",795000.0,830000,0,134.0,3.0,1,0,0,0,1,0,0,0,0,,1,2,1.0,5932.835820895522,0
102254318,Piso en venta en Passatge del Patriarca,El,"Gòtic,",698000.0,698000,0,138.0,2.0,1,1,0,0,1,1,1,0,0,,1,2,3.0,5057.971014492754,0
105310817,Piso en venta en calle de la Boqueria,El,"Gòtic,",350000.0,350000,0,59.0,2.0,1,1,0,0,1,1,0,0,0,,1,2,1.0,5932.203389830508,0
105427000,Piso en venta en paseo de Picasso,Sant,Pere,598000.0,620000,0,88.0,1.0,1,1,0,0,1,0,0,0,0,,1,2,0.0,6795.454545454545,0
104281294,Piso en venta en El Raval,Ciutat,"Vella,",395000.0,399000,0,132.0,3.0,1,0,1,0,1,0,0,0,0,,0,0,2.0,2992.4242424242425,3
104321583,Piso en venta en Pla de Palau,Sant,Pere,995000.0,995000,0,116.0,2.0,1,1,0,0,1,1,0,0,0,,1,2,1.0,8577.586206896553,0
104812388,Piso en venta en calle de la Junta de Comerç,El,"Raval,",310000.0,310000,0,54.0,1.0,1,0,0,0,1,0,0,0,0,,1,2,1.0,5740.740740740741,0
104605397,Piso en venta en calle de Montserrat,El,"Raval,",420000.0,420000,0,101.0,2.0,1,1,0,0,1,0,0,0,0,,1,2,2.0,4158.415841584158,0
105129066, Casa o chalet independiente en venta en calle d'Avinyó,El,"Gòtic,",4500000.0,4500000,0,1.405,3.0,1,1,1,0,0,0,0,0,0,,0,0,2.0,3202846.975088968,3
103247543,Piso en venta en calle d'en Serra,El,"Gòtic,",280000.0,280000,0,72.0,2.0,1,0,0,0,1,1,0,0,0,,0,2,3.0,3888.8888888888887,0
104972121,Ático en venta en calle d'Ataülf,El,"Gòtic,",1480000.0,1480000,0,152.0,2.0,1,1,0,0,1,1,0,0,0,,1,2,4.0,9736.842105263158,0
105244060,Piso en venta en calle de Joaquín Costa,El,"Raval,",614000.0,614000,0,121.0,2.0,1,1,0,0,1,1,0,0,0,,1,2,2.0,5074.380165289256,0
105181533,Piso en venta en calle de Manresa,Sant,Pere,525000.0,525000,0,96.0,3.0,1,0,0,0,1,1,0,0,0,,1,2,2.0,5468.75,0
104097094,Piso en venta en calle d'Ataülf,El,"Gòtic,",645000.0,645000,0,120.0,2.0,1,0,0,0,1,1,0,0,0,,1,2,1.0,5375.0,0
105497447,Piso en venta en calle dels Banys Nous,El,"Gòtic,",575500.0,575500,0,90.0,2.0,1,1,0,0,1,0,0,0,0,,1,2,3.0,6394.444444444444,0
103538143,Piso en venta en calle Comtal,El,"Gòtic,",950000.0,950000,0,79.0,1.0,1,1,0,0,1,0,0,0,0,,1,2,6.0,12025.316455696202,0
104673493,Piso en venta en calle de Marlet,El,"Gòtic,",749000.0,749000,0,126.0,2.0,1,1,0,0,1,0,0,0,0,,1,2,1.0,5944.444444444444,0
105258547,Ático en venta en calle d'en Roca,El,"Gòtic,",255000.0,255000,0,45.0,1.0,1,1,1,0,1,1,0,0,0,,0,2,4.0,5666.666666666667,0
103247543,Piso en venta en calle d'en Serra,El,"Gòtic,",280000.0,280000,0,72.0,2.0,1,0,0,0,1,1,0,0,0,,0,2,3.0,3888.8888888888887,0
105491837,Piso en venta en calle de la Princesa,Sant,Pere,795000.0,795000,0,130.0,3.0,1,1,0,0,1,1,0,0,0,,0,2,1.0,6115.384615384615,0
104605397,Piso en venta en calle de Montserrat,El,"Raval,",420000.0,420000,0,101.0,2.0,1,1,0,0,1,0,0,0,0,,1,2,2.0,4158.415841584158,0
105790836,Piso en venta en El Raval,Ciutat,"Vella,",430000.0,430000,0,110.0,3.0,0,1,0,0,1,0,0,0,0,,1,2,4.0,3909.090909090909,2
103587033,Piso en venta en calle d'Estruc,El,"Gòtic,",355000.0,355000,0,72.0,2.0,0,0,0,0,1,1,0,0,0,,0,2,3.0,4930.555555555556,2
102898462,Piso en venta en calle del Brosolí,Sant,Pere,415000.0,415000,0,102.0,3.0,1,0,0,0,1,1,0,0,0,,0,2,3.0,4068.627450980392,0
105744728,Piso en venta en calle de Josep Anselm Clavé,El,"Gòtic,",590000.0,590000,0,125.0,5.0,1,0,0,0,1,0,0,0,0,,0,2,1.0,4720.0,2
104555590,Piso en venta en calle d'Avinyó,El,"Gòtic,",485000.0,485000,0,86.0,2.0,1,0,0,0,1,1,0,0,0,,0,2,1.0,5639.53488372093,0
105129066, Casa o chalet independiente en venta en calle d'Avinyó,El,"Gòtic,",4500000.0,4500000,0,1.405,3.0,1,1,1,0,0,0,0,0,0,,0,0,2.0,3202846.975088968,3
104077384,Piso en venta en calle de Sant Pere Més Baix,Sant,Pere,450000.0,450000,0,116.0,2.0,0,1,0,0,1,0,0,0,0,,1,2,1.0,3879.310344827586,2
105742605,Piso en venta en calle de Ginebra,La,"Barceloneta,",520000.0,520000,0,135.0,2.0,1,0,0,0,1,1,0,0,0,,0,2,0.0,3851.851851851852,0
105424826,Piso en venta en calle d'Ocata,Sant,Pere,450000.0,450000,0,77.0,2.0,1,0,0,0,1,0,0,0,0,,1,2,3.0,5844.1558441558445,0
104972121,Ático en venta en calle d'Ataülf,El,"Gòtic,",1480000.0,1480000,0,152.0,2.0,1,1,0,0,1,1,0,0,0,,1,2,4.0,9736.842105263158,0
98448906,Piso en venta en calle del Comte de Santa Clara,La,"Barceloneta,",1395000.0,1395000,0,111.0,3.0,1,1,1,0,1,1,0,0,0,,0,2,1.0,12567.567567567568,0
105222779,Piso en venta en El Raval,Ciutat,"Vella,",260000.0,260000,0,60.0,2.0,1,0,0,0,1,0,0,0,0,,0,2,3.0,4333.333333333333,2
105744713,Piso en venta en calle d'Avinyó,El,"Gòtic,",650000.0,650000,0,170.0,4.0,0,0,0,0,1,0,0,0,0,,1,2,1.0,3823.529411764706,2
105810499,Ático en venta en El Gòtic,Ciutat,"Vella,",1790000.0,1790000,0,220.0,1.0,1,1,0,0,1,1,0,0,0,,1,2,5.0,8136.363636363636,0
