,id,title,location,city,price,original_price,discount,m2,hab,floor,air,terrace,storage,elevator,garage,outside,wardrobes,pool,garden,energy,co2,status,satus
1365,105090137,Ático en venta en calle de Sant Antoni Abat,El,"Raval,",149900,149900,0,45.0,1.0,Planta 4ª exterior con ascensor,True,True,False,True,False,True,False,False,False,,,,Buen estado
1366,104768853,Piso en venta en calle dels Banys Nous,El,"Gòtic,",575500,575500,0,93.0,2.0,Planta 3ª interior con ascensor,True,False,False,True,False,False,True,False,False,,,,Buen estado
1367,105780247,Piso en venta en calle de Sant Antoni Abat,El,"Raval,",156000,156000,0,58.0,2.0,Planta 1ª interior sin ascensor,False,False,False,True,False,False,False,False,False,,,,A reformar
1368,100818836,Piso en venta en calle de Sant Pau,El,"Raval,",319000,319000,0,69.0,2.0,Planta 1ª exterior sin ascensor,True,True,False,True,False,True,True,False,False,,,,Buen estado
1369,105975326,Piso en venta en calle de les Trompetes,Sant,Pere,320000,320000,0,63.0,1.0,Planta 2ª con ascensor,True,False,False,True,False,False,False,False,False,108,,,Buen estado
1370,105323009,Estudio en venta en calle de la Mestrança,La,"Barceloneta,",189900,189900,0,35.0,,Bajo exterior sin ascensor,True,False,False,True,False,True,False,False,False,46,,,Buen estado
1371,95734224,Piso en venta en calle de Sant Martí s/n,El,"Raval,",195000,195000,0,40.0,1.0,Planta 1ª exterior con ascensor,True,False,False,True,False,True,False,False,False,,,,Buen estado
1372,104323384,"Piso en venta en calle de Sant Pacià, 3",El,"Raval,",79900,79900,0,45.0,1.0,Planta 2ª interior sin ascensor,False,False,False,True,False,False,False,False,False,,,,A reformar
1373,99705641,"Piso en venta en rambla La, 73",El,"Raval,",724000,724000,0,140.0,7.0,Planta 2ª exterior con ascensor,False,False,True,True,False,True,False,False,False,199,33,,Buen estado
1374,105967308,Piso en venta en calle del Carme,El,"Raval,",910000,910000,0,157.0,3.0,Planta 3ª con ascensor,False,False,False,True,False,False,False,False,False,186,,,Buen estado
1375,105969784,Piso en venta en calle d'En Roig,El,"Raval,",175500,175500,0,62.0,2.0,Planta 6ª exterior sin ascensor,False,True,False,True,False,True,False,False,False,,,,Buen estado
1376,105941400,Piso en venta en calle dels Mirallers s/n,Sant,Pere,600000,600000,0,131.0,4.0,Planta 2ª exterior con ascensor,True,False,False,True,False,True,True,False,False,,,,Buen estado
1377,105451674,Piso en venta en paseo de Joan de Borbó,La,"Barceloneta,",505000,505000,0,72.0,2.0,Planta 2ª exterior con ascensor,False,False,False,True,False,True,False,False,False,92,,,Buen estado
1378,95734224,Piso en venta en calle de Sant Martí s/n,El,"Raval,",195000,195000,0,40.0,1.0,Planta 1ª exterior con ascensor,True,False,False,True,False,True,False,False,False,,,,Buen estado
